id,labels_mj1,labels_mj2,labels_mj3,labels_mj4,labels_human
1,male,male,male,,male
2,male,male,,,male
3,female,female,female,female,female
4,,female,female,,female
5,female,female,female,female,female
6,male,male,male,,male
7,female,female,,female,female
8,male,male,,,male
9,male,male,,male,male
10,male,male,,male,male
11,female,female,female,,female
12,female,female,female,female,female
13,female,female,female,female,female
14,,male,male,,male
15,male,female,female,,other
16,female,female,,,female
17,male,male,male,,male
18,female,female,,,female
19,female,female,female,female,female
20,female,female,female,female,female
21,male,male,male,male,male
22,female,female,female,female,female
23,male,,male,,male
24,male,male,male,,male
25,male,male,male,male,male
26,male,male,,male,male
27,male,,,,male
28,female,female,female,,female
29,female,female,female,female,female
30,male,male,,male,male
31,,female,,female,female
32,male,male,male,,male
33,male,,male,male,male
34,,male,male,male,male
35,male,male,,,male
36,male,male,male,male,male
37,male,male,,male,male
38,female,female,female,female,female
39,male,male,male,male,male
40,male,male,male,male,male
