id,labels_mj1,labels_mj2,labels_mj3,labels_mj4,labels_human
1,female,,female,female,female
2,female,,female,female,female
3,,male,male,male,male
4,,male,male,male,male
5,female,female,female,female,female
6,,male,,male,male
7,male,male,male,,male
8,,,male,male,male
9,,female,,female,female
10,,,male,male,male
11,female,female,female,,female
12,male,male,male,,male
13,male,,male,male,male
14,,male,male,,male
15,,,male,male,male
16,male,male,,male,male
17,male,,male,male,male
18,,male,male,male,male
19,,female,female,female,female
20,male,male,,male,male
21,,male,male,male,male
22,male,male,,male,male
23,male,male,,male,male
24,female,female,female,female,female
25,male,,male,male,male
26,female,female,female,female,female
27,,male,male,,male
28,,,male,,male
29,male,male,male,male,male
30,,,male,,male
31,,,,,male
32,male,male,male,,male
33,female,female,female,female,female
34,female,female,,,female
35,male,male,,,male
36,male,male,,male,male
37,male,male,male,male,male
38,female,female,female,,female
39,male,male,male,male,male
40,,,,,male
